state,check,observed,locked_expected,passed
PA,registered_rows,52472,52472,True
PA,quality_filtered_rows,50512,50512,True
PA,thinned_rows,44797,44797,True
PA,effort_taxa,33,33,True
PA,evaluation_species,15,15,True
PA,effort_union_cells,63,63,True
PA,stable_cells_at_effort_10,51,51,True
VA,registered_rows,46754,46754,True
VA,quality_filtered_rows,45190,45190,True
VA,thinned_rows,38706,38706,True
VA,effort_taxa,25,25,True
VA,evaluation_species,11,11,True
VA,effort_union_cells,62,62,True
VA,stable_cells_at_effort_10,36,36,True
NC,registered_rows,44129,44129,True
NC,quality_filtered_rows,40793,40793,True
NC,thinned_rows,35644,35644,True
NC,effort_taxa,28,28,True
NC,evaluation_species,17,17,True
NC,effort_union_cells,86,86,True
NC,stable_cells_at_effort_10,37,37,True
