analysis_group,region,fia_species_code,scientific_name,expected_species_jaccard
PA|316|Acer rubrum,PA,316,Acer rubrum,0.7166666666666667
PA|318|Acer saccharum,PA,318,Acer saccharum,0.4736842105263157
PA|833|Quercus rubra,PA,833,Quercus rubra,0.5689655172413793
PA|832|Quercus prinus,PA,832,Quercus prinus,0.509090909090909
PA|802|Quercus alba,PA,802,Quercus alba,0.5423728813559322
PA|531|Fagus grandifolia,PA,531,Fagus grandifolia,0.75
PA|762|Prunus serotina,PA,762,Prunus serotina,0.5862068965517241
PA|693|Nyssa sylvatica,PA,693,Nyssa sylvatica,0.4545454545454545
PA|372|Betula lenta,PA,372,Betula lenta,0.4081632653061224
PA|621|Liriodendron tulipifera,PA,621,Liriodendron tulipifera,0.5806451612903226
PA|931|Sassafras albidum,PA,931,Sassafras albidum,0.5789473684210527
PA|951|Tilia americana,PA,951,Tilia americana,0.4406779661016949
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,0.7666666666666667
PA|901|Robinia pseudoacacia,PA,901,Robinia pseudoacacia,0.5573770491803278
PA|407|Carya ovata,PA,407,Carya ovata,0.5087719298245614
VA|261|Tsuga canadensis,VA,261,Tsuga canadensis,0.3260869565217391
VA|316|Acer rubrum,VA,316,Acer rubrum,0.5714285714285714
VA|318|Acer saccharum,VA,318,Acer saccharum,0.4117647058823529
VA|531|Fagus grandifolia,VA,531,Fagus grandifolia,0.5357142857142857
VA|621|Liriodendron tulipifera,VA,621,Liriodendron tulipifera,0.6440677966101694
VA|762|Prunus serotina,VA,762,Prunus serotina,0.392156862745098
VA|802|Quercus alba,VA,802,Quercus alba,0.5344827586206896
VA|832|Quercus prinus,VA,832,Quercus prinus,0.4680851063829787
VA|833|Quercus rubra,VA,833,Quercus rubra,0.36
VA|901|Robinia pseudoacacia,VA,901,Robinia pseudoacacia,0.4339622641509434
VA|931|Sassafras albidum,VA,931,Sassafras albidum,0.6551724137931034
NC|261|Tsuga canadensis,NC,261,Tsuga canadensis,0.5588235294117647
NC|316|Acer rubrum,NC,316,Acer rubrum,0.5970149253731343
NC|318|Acer saccharum,NC,318,Acer saccharum,0.4615384615384615
NC|403|Carya glabra,NC,403,Carya glabra,0.3333333333333333
NC|407|Carya ovata,NC,407,Carya ovata,0.45
NC|531|Fagus grandifolia,NC,531,Fagus grandifolia,0.5
NC|541|Fraxinus americana,NC,541,Fraxinus americana,0.3448275862068966
NC|621|Liriodendron tulipifera,NC,621,Liriodendron tulipifera,0.6323529411764706
NC|693|Nyssa sylvatica,NC,693,Nyssa sylvatica,0.391304347826087
NC|711|Oxydendrum arboreum,NC,711,Oxydendrum arboreum,0.5272727272727272
NC|762|Prunus serotina,NC,762,Prunus serotina,0.3709677419354839
NC|802|Quercus alba,NC,802,Quercus alba,0.5636363636363636
NC|832|Quercus prinus,NC,832,Quercus prinus,0.7241379310344828
NC|833|Quercus rubra,NC,833,Quercus rubra,0.5897435897435898
NC|837|Quercus velutina,NC,837,Quercus velutina,0.4
NC|901|Robinia pseudoacacia,NC,901,Robinia pseudoacacia,0.4594594594594595
NC|931|Sassafras albidum,NC,931,Sassafras albidum,0.5352112676056338
