analysis_group,state,fia_species_code,scientific_name,period,cell_id,effort_count,focal_count
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-151,81,0
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-152,74,1
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-153,73,2
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-154,32,0
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-155,47,3
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-156,11,1
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-157,17,0
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-158,6,0
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-159,80,14
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-160,62,9
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,79_-161,20,0
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-150,39,2
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-151,273,11
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-152,70,0
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-153,18,0
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-154,94,1
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-155,64,4
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-156,17,1
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-157,122,6
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-158,28,2
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-159,41,5
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-160,328,12
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,80_-161,134,4
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-151,22,3
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-152,43,4
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-153,22,0
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-154,18,2
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-155,9,2
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-156,92,5
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-157,56,4
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-158,1,1
PA|261|Tsuga canadensis,PA,261,Tsuga canadensis,early,81_-159,11,1
