group,stable_cell_count,raw_estimable,corrected_estimable,early_relative_rate_sum,late_relative_rate_sum,availability_reason,minimum_effort_per_cell_period,minimum_stable_cells,effort_early_cells,effort_late_cells,effort_intersection_cells,effort_union_cells,effort_jaccard,effort_overlap_min_fraction,species_early_cells,species_late_cells,species_intersection_cells,species_union_cells,species_jaccard,species_overlap_min_fraction
NC|261|Tsuga canadensis,37,True,True,1.396285203142735,1.60752865114882,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,19,34,19,34,0.5588235294117647,1.0
NC|316|Acer rubrum,37,True,True,3.297467094920351,2.791179323108324,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,41,66,40,67,0.5970149253731343,0.975609756097561
NC|318|Acer saccharum,37,True,True,0.4848985709803483,0.20818900359668935,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,13,25,12,26,0.46153846153846156,0.9230769230769231
NC|403|Carya glabra,37,True,True,0.38598580327628274,0.28145404672240604,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,12,36,12,36,0.3333333333333333,1.0
NC|407|Carya ovata,37,True,True,0.3792933072714277,0.09781405732792871,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,12,17,9,20,0.45,0.75
NC|531|Fagus grandifolia,37,True,True,2.355083710437122,3.0703209227610397,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,33,66,33,66,0.5,1.0
NC|541|Fraxinus americana,37,True,True,0.29713962519141646,0.13527941025423187,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,12,27,10,29,0.3448275862068966,0.8333333333333334
NC|621|Liriodendron tulipifera,37,True,True,3.8096950770902165,4.730163723224174,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,44,67,43,68,0.6323529411764706,0.9772727272727273
NC|693|Nyssa sylvatica,37,True,True,0.5195509650719375,0.5313516156050732,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,18,46,18,46,0.391304347826087,1.0
NC|711|Oxydendrum arboreum,37,True,True,1.5992263121619363,2.038829397983342,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,29,55,29,55,0.5272727272727272,1.0
NC|762|Prunus serotina,37,True,True,0.847169840924448,1.3158383873351238,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,25,60,23,62,0.3709677419354839,0.92
NC|802|Quercus alba,37,True,True,1.914604844544328,1.4219880164437797,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,34,52,31,55,0.5636363636363636,0.9117647058823529
NC|832|Quercus prinus,37,True,True,0.8748732604794072,0.4078070359717329,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,22,28,21,29,0.7241379310344828,0.9545454545454546
NC|833|Quercus rubra,37,True,True,1.059542097247228,0.42041753611348714,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,24,38,23,39,0.5897435897435898,0.9583333333333334
NC|837|Quercus velutina,37,True,True,0.39212163190726446,0.19443768114680157,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,17,32,14,35,0.4,0.8235294117647058
NC|901|Robinia pseudoacacia,37,True,True,0.6311343712191628,0.3666391311808653,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,19,35,17,37,0.4594594594594595,0.8947368421052632
NC|931|Sassafras albidum,37,True,True,2.728479616370818,3.2456292764064556,available,10.0,3,63,86,63,86,0.7325581395348837,1.0,39,70,38,71,0.5352112676056338,0.9743589743589743
PA|261|Tsuga canadensis,51,True,True,4.136992057602944,4.1587315372428355,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,46,60,46,60,0.7666666666666667,1.0
PA|316|Acer rubrum,51,True,True,3.1885852988297256,2.035768762987467,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,43,60,43,60,0.7166666666666667,1.0
PA|318|Acer saccharum,51,True,True,1.1818850612039906,1.107538432582463,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,29,55,27,57,0.47368421052631576,0.9310344827586207
PA|372|Betula lenta,51,True,True,1.0071127370343838,0.5783842914542873,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,20,49,20,49,0.40816326530612246,1.0
PA|407|Carya ovata,51,True,True,1.5164927428919124,0.663142811233791,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,33,53,29,57,0.5087719298245614,0.8787878787878788
PA|531|Fagus grandifolia,51,True,True,3.41008933450527,3.3373908421756378,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,45,60,45,60,0.75,1.0
PA|621|Liriodendron tulipifera,51,True,True,2.765338252390111,3.588127155423877,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,37,61,36,62,0.5806451612903226,0.972972972972973
PA|693|Nyssa sylvatica,51,True,True,0.900844011245752,0.9474724568414941,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,26,54,25,55,0.45454545454545453,0.9615384615384616
PA|762|Prunus serotina,51,True,True,1.7583737127405616,1.4352400714602565,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,34,58,34,58,0.5862068965517241,1.0
PA|802|Quercus alba,51,True,True,1.6510806718643134,1.30823779986348,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,32,59,32,59,0.5423728813559322,1.0
PA|832|Quercus prinus,51,True,True,1.7690946906445244,0.7529123305302251,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,31,52,28,55,0.509090909090909,0.9032258064516129
PA|833|Quercus rubra,51,True,True,1.6527644826093828,1.1447262668916156,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,34,57,33,58,0.5689655172413793,0.9705882352941176
PA|901|Robinia pseudoacacia,51,True,True,2.0161387236307946,1.6085325921690843,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,35,60,34,61,0.5573770491803278,0.9714285714285714
PA|931|Sassafras albidum,51,True,True,2.1691585602592998,2.8549927568831523,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,34,56,33,57,0.5789473684210527,0.9705882352941176
PA|951|Tilia americana,51,True,True,1.1186115903875458,1.03354025773941,available,10.0,3,60,63,60,63,0.9523809523809523,1.0,26,59,26,59,0.4406779661016949,1.0
VA|261|Tsuga canadensis,36,True,True,1.1032560372074816,1.5092189257813193,available,10.0,3,55,62,55,62,0.8870967741935484,1.0,16,45,15,46,0.32608695652173914,0.9375
VA|316|Acer rubrum,36,True,True,2.811042213424142,1.9624942124998934,available,10.0,3,55,62,55,62,0.8870967741935484,1.0,32,56,32,56,0.5714285714285714,1.0
VA|318|Acer saccharum,36,True,True,0.4237475385117012,0.20943950215583526,available,10.0,3,55,62,55,62,0.8870967741935484,1.0,15,33,14,34,0.4117647058823529,0.9333333333333333
VA|531|Fagus grandifolia,36,True,True,2.76596380160957,2.8355300617495187,available,10.0,3,55,62,55,62,0.8870967741935484,1.0,31,55,30,56,0.5357142857142857,0.967741935483871
VA|621|Liriodendron tulipifera,36,True,True,4.022876004437818,3.9740143738280045,available,10.0,3,55,62,55,62,0.8870967741935484,1.0,38,59,38,59,0.6440677966101694,1.0
